model,epoch,train_loss,val_loss,val_accuracy,val_f1_macro,val_top3_accuracy
rnn,1,6.7171788556235175,6.866832494735718,0.009259259259259259,0.0032242063492063495,0.05092592592592592
rnn,2,6.378320387431553,6.734109044075012,0.027777777777777776,0.007678993583248903,0.12037037037037036
rnn,3,6.017827136175973,6.57178270816803,0.05092592592592592,0.01798316057092271,0.12037037037037036
rnn,4,5.652082170758929,6.358626842498779,0.05092592592592592,0.013950980756788378,0.1527777777777778
rnn,5,5.291924578802926,6.125928044319153,0.05092592592592592,0.011658690466740004,0.1388888888888889
rnn,6,4.9241839817592075,5.9263023138046265,0.05555555555555555,0.016606905425096945,0.1712962962962963
rnn,7,4.587620769228254,5.7740607261657715,0.06481481481481481,0.018763571883253137,0.17592592592592593
rnn,8,4.296637943812779,5.668952703475952,0.05555555555555555,0.018025064890389967,0.19444444444444445
rnn,9,4.068167635372707,5.58464503288269,0.05555555555555555,0.021795589728122972,0.19907407407407407
rnn,10,3.826979432787214,5.530775427818298,0.046296296296296294,0.016591292671625082,0.2037037037037037
rnn,11,3.6467143297195435,5.481214880943298,0.05092592592592592,0.021136173767752713,0.18055555555555555
rnn,12,3.4469165972300937,5.454366207122803,0.06018518518518518,0.031919778220566575,0.19444444444444445
lstm,1,6.709733009338379,6.928622364997864,0.06481481481481481,0.031034806343660157,0.12037037037037036
lstm,2,6.543323482785906,6.8585731983184814,0.0787037037037037,0.034845252718080026,0.16666666666666666
lstm,3,6.355352333613804,6.740452527999878,0.06944444444444445,0.028005568111951092,0.1574074074074074
lstm,4,6.056164741516113,6.5118231773376465,0.06944444444444445,0.02692700959986098,0.14814814814814814
lstm,5,5.563768250601632,6.255267143249512,0.06018518518518518,0.027701097570133257,0.14351851851851852
lstm,6,5.098450456346784,6.027941584587097,0.06018518518518518,0.019318552086953874,0.16203703703703703
lstm,7,4.703665290560041,5.888605356216431,0.06944444444444445,0.02183784820903934,0.17592592592592593
lstm,8,4.382665293557303,5.791269659996033,0.06018518518518518,0.019512178477470964,0.2037037037037037
lstm,9,4.11805978843144,5.739447712898254,0.06481481481481481,0.022946004391921574,0.20833333333333334
lstm,10,3.8382655552455356,5.688616037368774,0.08796296296296297,0.04167396839271839,0.21296296296296297
lstm,11,3.6344681126730785,5.657754182815552,0.0787037037037037,0.03621500027750028,0.2037037037037037
lstm,12,3.4280692849840437,5.635425806045532,0.0787037037037037,0.04123700373700373,0.19907407407407407
bilstm,1,6.689706291471209,6.929491281509399,0.037037037037037035,0.011677865896501261,0.08796296296296297
bilstm,2,6.496015344347272,6.833128929138184,0.06018518518518518,0.01962564816882339,0.1388888888888889
bilstm,3,6.276511158261981,6.674010515213013,0.06944444444444445,0.015488530382147403,0.18981481481481483
bilstm,4,5.9315807819366455,6.402125239372253,0.07407407407407407,0.01852451812838151,0.14814814814814814
bilstm,5,5.376459734780448,6.090505361557007,0.06944444444444445,0.021200154216958342,0.16666666666666666
bilstm,6,4.860663414001465,5.786305069923401,0.07407407407407407,0.031524934908087075,0.2037037037037037
bilstm,7,4.446251767022269,5.630051255226135,0.08333333333333333,0.04074197210386469,0.2175925925925926
bilstm,8,4.108489377158029,5.491297483444214,0.09259259259259259,0.04735230068765545,0.2037037037037037
bilstm,9,3.7992784466062273,5.436312317848206,0.09722222222222222,0.05533769175370146,0.2037037037037037
bilstm,10,3.518102134977068,5.344399809837341,0.09722222222222222,0.05910105519480519,0.20833333333333334
bilstm,11,3.281413878713335,5.3010170459747314,0.10185185185185185,0.056436078219166456,0.2222222222222222
bilstm,12,3.0682107550757274,5.325539708137512,0.09259259259259259,0.05631958591517414,0.2222222222222222
